Resumption	NN	resumption
had	VBD	have
been	VBN	be
given	VBN	give
on	IN	on
any	DT	any
dispute	NN	dispute
,	,	,
and	CC	and
provided	VBD	provide
that	IN	that
they	PP	they
had	VBD	have
previously	RB	previously
made	VBN	make
a	DT	a
written	JJ	written
declaration	NN	declaration
stating	VBG	state
that	IN	that
they	PP	they
did	VBD	do
not	RB	not
hold	VB	hold
any	DT	any
office	NN	office
incompatible	NN	incompatible
with	IN	with
that	DT	that
of	IN	of
Member	NP	Member
of	IN	of
the	DT	the
European	NP	European
Parliament	NP	Parliament
,	,	,
Claus	NP	Claus
LarsenJensen	NP	<unknown>
,	,	,
Zbigniew	NP	Zbigniew
Zaleski	NP	Zaleski
et	CC	et
Tadeusz	NP	Tadeusz
Edward	NP	Edward
Ross	NP	Ross
would	MD	would
take	VB	take
their	PP$	their
seats	NNS	seat
in	IN	in
Parliament	NP	Parliament
and	CC	and
on	IN	on
its	PP$	its
bodies	NNS	body
and	CC	and
would	MD	would
enjoy	VB	enjoy
all	PDT	all
the	DT	the
rights	NNS	right
attaching	VBG	attach
thereto	RB	thereto
.	SENT	.
Composition	NN	composition
of	IN	of
political	JJ	political
groups	NNS	group
Godfrey	NP	Godfrey
Bloom	NP	Bloom
was	VBD	be
no	RB	no
longer	RBR	longer
a	DT	a
member	NN	member
of	IN	of
the	DT	the
EFD	NP	<unknown>
Group	NP	Group
and	CC	and
was	VBD	be
sitting	VBG	sit
with	IN	with
the	DT	the
non-attached	JJ	<unknown>
Members	NNS	member
with	IN	with
effect	NN	effect
from	IN	from
9	CD	9
January	NP	January
2014	CD	@card@
.	SENT	.
Composition	NN	composition
of	IN	of
committees	NNS	committee
and	CC	and
delegations	NNS	delegation
The	DT	the
President	NP	President
had	VBD	have
received	VBN	receive
the	DT	the
following	VBG	follow
requests	NNS	request
for	IN	for
appointments	NNS	appointment
from	IN	from
the	DT	the
PPE	NP	<unknown>
,	,	,
S&D	NP	<unknown>
and	CC	and
Verts/ALE	NP	<unknown>
Groups	NNS	group
:	:	:
The	DT	the
appointments	NNS	appointment
would	MD	would
be	VB	be
deemed	VBN	deem
ratified	VBN	ratify
if	IN	if
there	EX	there
were	VBD	be
no	DT	no
objections	NNS	objection
before	IN	before
the	DT	the
approval	NN	approval
of	IN	of
these	DT	these
minutes	NNS	minute
.	SENT	.
Corrigendum	NN	corrigendum
(	(	(
Rule	NP	Rule
216	CD	@card@
)	)	)
The	DT	the
committee	NN	committee
responsible	JJ	responsible
had	VBD	have
forwarded	VBN	forward
the	DT	the
following	VBG	follow
corrigendum	NN	corrigendum
to	TO	to
a	DT	a
text	NN	text
adopted	VBN	adopt
by	IN	by
Parliament	NP	Parliament
:	:	:
Pursuant	JJ	pursuant
to	TO	to
Rule	NP	Rule
216(4	NP	<unknown>
)	)	)
,	,	,
this	DT	this
corrigendum	NN	corrigendum
would	MD	would
be	VB	be
deemed	VBN	deem
approved	VBN	approve
unless	IN	unless
,	,	,
within	IN	within
24	CD	@card@
hours	NNS	hour
,	,	,
a	DT	a
request	NN	request
was	VBD	be
made	VBN	make
by	IN	by
a	DT	a
political	JJ	political
group	NN	group
or	CC	or
at	IN	at
least	JJS	least
40	CD	@card@
Members	NNS	member
that	IN	that
it	PP	it
be	VB	be
put	VBN	put
to	TO	to
the	DT	the
vote	NN	vote
.	SENT	.
The	DT	the
corrigendum	NN	corrigendum
would	MD	would
be	VB	be
available	JJ	available
on	IN	on
the	DT	the
Séance	NN	séance
en	IN	en
direct	JJ	direct
website	NN	website
during	IN	during
the	DT	the
current	JJ	current
partsession	NN	<unknown>
.	SENT	.
The	DT	the
President	NP	President
announced	VBD	announce
that	IN	that
since	IN	since
the	DT	the
adjournment	NN	adjournment
of	IN	of
the	DT	the
session	NN	session
in	IN	in
December	NP	December
2013	CD	@card@
,	,	,
he	PP	he
had	VBD	have
together	RB	together
with	IN	with
the	DT	the
President	NP	President
of	IN	of
the	DT	the
Council	NP	Council
signed	VBD	sign
eighteen	CD	eighteen
acts	NNS	act
adopted	VBN	adopt
under	IN	under
the	DT	the
ordinary	JJ	ordinary
legislative	JJ	legislative
procedure	NN	procedure
,	,	,
and	CC	and
that	IN	that
he	PP	he
would	MD	would
sign	VB	sign
a	DT	a
further	JJR	further
two	CD	two
acts	NNS	act
that	DT	that
Wednesday	NP	Wednesday
:	:	:
Delegated	VBN	delegate
acts	NNS	act
(	(	(
Rule	NP	Rule
87a	NP	<unknown>
)	)	)
The	DT	the
following	VBG	follow
draft	NN	draft
delegated	VBN	delegate
act	NN	act
had	VBD	have
been	VBN	be
forwarded	VBN	forward
to	TO	to
Parliament	NP	Parliament
:	:	:
-	:	-
Commission	NP	Commission
Delegated	NP	<unknown>
Regulation	NP	Regulation
(	(	(
EU	NP	EU
)	)	)
supplementing	VBG	supplement
Regulation	NP	Regulation
(	(	(
EU	NP	EU
)	)	)
No	DT	no
575/2013	CD	@card@
of	IN	of
the	DT	the
European	NP	European
Parliament	NP	Parliament
and	CC	and
of	IN	of
the	DT	the
Council	NN	council
on	IN	on
prudential	JJ	prudential
requirements	NNS	requirement
for	IN	for
credit	NN	credit
institutions	NNS	institution
and	CC	and
investment	NN	investment
firms	NNS	firm
,	,	,
with	IN	with
regard	NN	regard
to	TO	to
regulatory	JJ	regulatory
technical	JJ	technical
standards	NNS	standard
for	IN	for
specifying	VBG	specify
the	DT	the
calculation	NN	calculation
of	IN	of
specific	JJ	specific
and	CC	and
general	JJ	general
credit	NN	credit
risk	NN	risk
adjustments	NNS	adjustment
(	(	(
C(2013)09338	NP	<unknown>
–	NP	<unknown>
2014/2501(DEA	NP	<unknown>
)	)	)
)	)	)
Period	NN	period
for	IN	for
lodging	VBG	lodge
objections	NNS	objection
:	:	:
one	CD	one
month	NN	month
,	,	,
starting	VBG	start
from	IN	from
the	DT	the
date	NN	date
of	IN	of
reception	NN	reception
:	:	:
20	CD	@card@
December	NP	December
2013	CD	@card@
.	SENT	.
referred	VBN	refer
back	RB	back
to	TO	to
committee	NN	committee
responsible	JJ	responsible
ECON	NP	Econ
Action	NP	Action
taken	VBN	take
on	IN	on
Parliament	NP	Parliament
's	POS	's
resolutions	NNS	resolution
The	DT	the
Commission	NP	Commission
communication	NN	communication
on	IN	on
the	DT	the
action	NN	action
taken	VBN	take
on	IN	on
the	DT	the
resolutions	NNS	resolution
adopted	VBN	adopt
by	IN	by
Parliament	NP	Parliament
during	IN	during
the	DT	the
September	NP	September
2013	CD	@card@
part-session	NN	<unknown>
was	VBD	be
available	JJ	available
on	IN	on
the	DT	the
Séance	NN	séance
en	IN	en
direct	JJ	direct
site	NN	site
.	SENT	.
Questions	NNS	question
for	IN	for
oral	JJ	oral
answer	NN	answer
(	(	(
submission	NN	submission
)	)	)
The	DT	the
following	VBG	follow
questions	NNS	question
for	IN	for
oral	JJ	oral
answer	NN	answer
had	VBD	have
been	VBN	be
submitted	VBN	submit
by	IN	by
Members	NP	Members
(	(	(
Rule	NP	Rule
115	CD	@card@
)	)	)
:	:	:
Petitions	VBZ	petition
The	DT	the
following	VBG	follow
petitions	NNS	petition
,	,	,
which	WDT	which
had	VBD	have
been	VBN	be
entered	VBN	enter
in	IN	in
the	DT	the
register	NN	register
on	IN	on
the	DT	the
dates	NNS	date
shown	VBN	show
below	IN	below
,	,	,
had	VBD	have
been	VBN	be
forwarded	VBN	forward
to	TO	to
the	DT	the
committee	NN	committee
responsible	JJ	responsible
under	IN	under
Rule	NP	Rule
201(6	NP	<unknown>
)	)	)
:	:	:
Order	VB	order
of	IN	of
business	NN	business
The	DT	the
next	JJ	next
item	NN	item
was	VBD	be
the	DT	the
order	NN	order
of	IN	of
business	NN	business
.	SENT	.
The	DT	the
final	JJ	final
draft	NN	draft
agenda	NN	agenda
for	IN	for
the	DT	the
January	NP	January
2014	CD	@card@
part-session	NN	<unknown>
(	(	(
PE	NP	<unknown>
526.046/PDOJ	NP	<unknown>
)	)	)
had	VBD	have
been	VBN	be
distributed	VBN	distribute
.	SENT	.
No	DT	no
changes	NNS	change
had	VBD	have
been	VBN	be
proposed	VBN	propose
.	SENT	.
The	DT	the
order	NN	order
of	IN	of
business	NN	business
was	VBD	be
thus	RB	thus
established	VBN	establish
.	SENT	.
Carbon	NN	carbon
capture	NN	capture
and	CC	and
storage	NN	storage
technology	NN	technology
(	(	(
debate	NN	debate
)	)	)
Chris	NP	Chris
Davies	NP	Davies
introduced	VBD	introduce
the	DT	the
report	NN	report
.	SENT	.
19	LS	@card@
.	SENT	.
One-minute	JJ	one-minute
speeches	NNS	speech
on	IN	on
matters	NNS	matter
of	IN	of
political	JJ	political
importance	NN	importance
In	IN	in
accordance	NN	accordance
with	IN	with
Rule	NP	Rule
150	CD	@card@
,	,	,
the	DT	the
following	VBG	follow
Members	NNS	member
who	WP	who
wished	VBD	wish
to	TO	to
draw	VB	draw
the	DT	the
attention	NN	attention
of	IN	of
Parliament	NP	Parliament
to	TO	to
matters	NNS	matter
of	IN	of
political	JJ	political
importance	NN	importance
spoke	VBD	speak
for	IN	for
one	CD	one
minute	NN	minute
:	:	:
eHealth	NP	<unknown>
Action	NP	Action
Plan	NP	Plan
2012-2020	CD	@card@
(	(	(
short	JJ	short
presentation	NN	presentation
)	)	)
Report	NP	Report
on	IN	on
the	DT	the
eHealth	NN	<unknown>
Action	NP	Action
Plan	NP	Plan
2012-2020	CD	@card@
–	NN	<unknown>
Innovative	JJ	innovative
healthcare	NN	<unknown>
for	IN	for
the	DT	the
21st	JJ	21st
century	NN	century
[	SYM	[
2013/2061(INI	JJ	<unknown>
)	)	)
]	SYM	]
-	:	-
Committee	NP	Committee
on	IN	on
the	DT	the
Environment	NP	Environment
,	,	,
Public	NP	Public
Health	NP	Health
and	CC	and
Food	NP	Food
Safety	NP	Safety
.	SENT	.
Rapporteur	NN	rapporteur
:	:	:
Pilar	NP	Pilar
Ayuso	NP	Ayuso
(	(	(
A7-0443/2013	NP	<unknown>
)	)	)
Pilar	NP	Pilar
Ayuso	NP	Ayuso
made	VBD	make
the	DT	the
presentation	NN	presentation
.	SENT	.
The	DT	the
item	NN	item
closed	VBD	close
.	SENT	.
Food	NN	food
crisis	NN	crisis
,	,	,
fraud	NN	fraud
in	IN	in
the	DT	the
food	NN	food
chain	NN	chain
and	CC	and
the	DT	the
control	NN	control
thereof	RB	thereof
(	(	(
short	JJ	short
presentation	NN	presentation
)	)	)
Report	NP	Report
on	IN	on
the	DT	the
food	NN	food
crisis	NN	crisis
,	,	,
fraud	NN	fraud
in	IN	in
the	DT	the
food	NN	food
chain	NN	chain
and	CC	and
the	DT	the
control	NN	control
thereof	RB	thereof
[	SYM	[
2013/2091(INI	JJ	<unknown>
)	)	)
]	SYM	]
Committee	NP	Committee
on	IN	on
the	DT	the
Environment	NP	Environment
,	,	,
Public	NP	Public
Health	NP	Health
and	CC	and
Food	NP	Food
Safety	NP	Safety
.	SENT	.
Rapporteur	NN	rapporteur
:	:	:
Esther	NP	Esther
de	NP	de
Lange	NP	Lange
(	(	(
A70434/2013	NP	<unknown>
)	)	)
Esther	NP	Esther
de	NP	de
Lange	NP	Lange
made	VBD	make
the	DT	the
presentation	NN	presentation
.	SENT	.
Effective	JJ	effective
labour	NN	labour
inspections	NNS	inspection
as	IN	as
a	DT	a
strategy	NN	strategy
to	TO	to
improve	VB	improve
working	JJ	working
conditions	NNS	condition
(	(	(
short	JJ	short
presentation	NN	presentation
)	)	)
Report	NN	report
on	IN	on
effective	JJ	effective
labour	NN	labour
inspections	NNS	inspection
as	IN	as
a	DT	a
strategy	NN	strategy
to	TO	to
improve	VB	improve
working	VBG	work
conditions	NNS	condition
in	IN	in
Europe	NP	Europe
[	SYM	[
2013/2112(INI	JJ	<unknown>
)	)	)
]	SYM	]
-	:	-
Committee	NP	Committee
on	IN	on
Employment	NP	Employment
and	CC	and
Social	NP	Social
Affairs	NPS	Affairs
.	SENT	.
Rapporteur	NN	rapporteur
:	:	:
Jutta	NP	Jutta
Steinruck	NP	<unknown>
(	(	(
A70458/2013	NP	<unknown>
)	)	)
